major1,major2,Industry
Philosophy,,"Education, training and library"
Philosophy,,Healthcare / medical
Philosophy,,Legal
Philosophy,,Legal
Philosophy,,Legal
Philosophy,,Legal
Philosophy,,Legal
Philosophy,,Legal
Philosophy,,Other (Please describe): Public Defender
Physics,,"Arts, design, entertainment, sports and media"
Physics,,Business and financial/accounting
Physics,,Computer and mathematical
Physics,,"Education, training and library"
Physics,,"Life, physical and social sciences"
Physics,,Management
Physics,,Other (Please describe): R&D
Physics,,Other (Please describe): Seismology
Political and Social Thought,,Business and financial/accounting
Political and Social Thought,,"Education, training and library"
Political and Social Thought,,"Education, training and library"
Political and Social Thought,,"Education, training and library"
Political and Social Thought,,Legal
Political and Social Thought,,Legal
Political and Social Thought,,Legal
Political and Social Thought,,Marketing and sales
Political and Social Thought,,Other (Please describe): Media/Book/Speech Writing
Political Philosophy Policy & Law,,"Education, training and library"
Political Philosophy Policy & Law,,"Education, training and library"
Political Philosophy Policy & Law,,"Education, training and library"
Political Philosophy Policy & Law,,Legal
Political Philosophy Policy & Law,,Legal
Politics Honors,,Legal
Psychology,,Architecture and engineering
Psychology,,"Arts, design, entertainment, sports and media"
Psychology,,"Arts, design, entertainment, sports and media"
Psychology,,Business and financial/accounting
Psychology,,Business and financial/accounting
Psychology,,Business and financial/accounting
Psychology,,Business and financial/accounting
Psychology,,Community and social services
Psychology,,Community and social services
Psychology,,Community and social services
Psychology,,Community and social services
Psychology,,Community and social services
Psychology,,Computer and mathematical
Psychology,,Computer and mathematical
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,"Education, training and library"
Psychology,,Food preparation and serving related
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Healthcare / medical
Psychology,,Legal
Psychology,,Legal
Psychology,,Legal
Psychology,,Legal
Psychology,,Legal
Psychology,,Legal
Psychology,,Legal
Psychology,,"Life, physical and social sciences"
Psychology,,"Life, physical and social sciences"
Psychology,,Management
Psychology,,Management
Psychology,,Management
Psychology,,Management
Psychology,,Management
Psychology,,Management
Psychology,,Management
Psychology,,Marketing and sales
Psychology,,Marketing and sales
Psychology,,Marketing and sales
Psychology,,Marketing and sales
Psychology,,Office and administrative support
Psychology,,Office and administrative support
Psychology,,Office and administrative support
Psychology,,Office and administrative support
Psychology,,Other (Please describe): academia/ research
Psychology,,Other (Please describe): Animal Care
Psychology,,Other (Please describe): Communications/Public Relations
Psychology,,Other (Please describe): Development/Fundraising
Psychology,,Other (Please describe): Education administration
Psychology,,Other (Please describe): financial counseling
Psychology,,Other (Please describe): government
Psychology,,Other (Please describe): intelligence analyst
Psychology,,Other (Please describe): Management Consulting
Psychology,,Other (Please describe): Mental Health
Psychology,,Other (Please describe): Policy research
Psychology,,Other (Please describe): Research
Psychology,,Other (Please describe): Software Testing
Psychology,,Transportation
Religious Studies,,(Not Answered)
Religious Studies,,(Not Answered)
Religious Studies,,"Arts, design, entertainment, sports and media"
Religious Studies,,"Arts, design, entertainment, sports and media"
Religious Studies,,Business and financial/accounting
Religious Studies,,Community and social services
Religious Studies,,Community and social services
Religious Studies,,Community and social services
Religious Studies,,Community and social services
Religious Studies,,"Education, training and library"
Religious Studies,,"Education, training and library"
Religious Studies,,"Education, training and library"
Religious Studies,,"Education, training and library"
Religious Studies,,"Education, training and library"
Religious Studies,,"Education, training and library"
Religious Studies,,Healthcare / medical
Religious Studies,,Healthcare / medical
Religious Studies,,Healthcare / medical
Religious Studies,,Healthcare / medical
Religious Studies,,Legal
Religious Studies,,Management
Religious Studies,,Management
Religious Studies,,Office and administrative support
Religious Studies,,Other (Please describe): Clergy
Religious Studies,,Other (Please describe): College Ministry
Religious Studies,,Other (Please describe): Consulting
Religious Studies,,Other (Please describe): Volunteer and Outreach Management
Slavic,,(Not Answered)
Slavic,,"Arts, design, entertainment, sports and media"
Slavic,,Business and financial/accounting
Slavic,,"Education, training and library"
Slavic,,"Education, training and library"
Slavic,,Other (Please describe): Project management
Slavic,,Other (Please describe): Public Relations
Sociology,,"Arts, design, entertainment, sports and media"
Sociology,,Community and social services
Sociology,,Community and social services
Sociology,,"Education, training and library"
Sociology,,"Education, training and library"
Sociology,,Healthcare / medical
Sociology,,Healthcare / medical
Sociology,,Healthcare / medical
Sociology,,Healthcare / medical
Sociology,,Healthcare / medical
Sociology,,Law enforcement
Sociology,,Legal
Sociology,,Legal
Sociology,,Legal
Sociology,,Marketing and sales
